id,timestamp,sensor_id,total
68581,8/17/2020 21:36,277,11
68582,8/17/2020 21:36,283,11
68583,8/17/2020 21:41,265,0
68584,8/17/2020 21:41,277,11
68585,8/17/2020 21:41,283,11
68586,8/17/2020 21:46,265,0
68587,8/17/2020 21:46,277,12
68588,8/17/2020 21:46,283,12
68589,8/17/2020 21:51,265,1
68590,8/17/2020 21:51,277,12
68591,8/17/2020 21:51,283,12
68592,8/17/2020 21:56,265,1
68593,8/17/2020 21:56,277,12
68594,8/17/2020 21:56,283,12
68595,8/17/2020 22:01,265,1
68596,8/17/2020 22:01,277,14
68597,8/17/2020 22:01,283,14
68598,8/17/2020 22:06,265,1
68599,8/17/2020 22:06,277,14
68600,8/17/2020 22:06,283,14
68601,8/17/2020 22:11,265,1
68602,8/17/2020 22:11,277,15
68603,8/17/2020 22:11,283,15
68604,8/17/2020 22:16,265,2
68605,8/17/2020 22:16,277,16
68606,8/17/2020 22:16,283,16
68607,8/17/2020 22:21,265,2
68608,8/17/2020 22:21,277,16
68609,8/17/2020 22:21,283,16
68610,8/17/2020 22:26,265,2
68611,8/17/2020 22:26,277,16
68612,8/17/2020 22:26,283,16
68613,8/17/2020 22:31,265,2
68614,8/17/2020 22:31,277,16
68615,8/17/2020 22:31,283,16
68616,8/17/2020 22:36,265,2
68617,8/17/2020 22:36,277,16
68618,8/17/2020 22:36,283,16
68619,8/17/2020 22:41,265,2
68620,8/17/2020 22:41,277,16
68621,8/17/2020 22:41,283,16
68622,8/17/2020 22:46,265,2
68623,8/17/2020 22:46,277,18
68624,8/17/2020 22:46,283,18
68625,8/17/2020 22:51,265,2
68626,8/17/2020 22:51,277,18
68627,8/17/2020 22:51,283,18
68628,8/17/2020 22:56,265,2
68629,8/17/2020 22:56,277,18
68630,8/17/2020 22:56,283,18
76569,8/26/2020 12:43,265,30
68112,8/17/2020 15:52,265,30
68113,8/17/2020 15:52,271,295
68114,8/17/2020 15:52,277,296
68115,8/17/2020 15:52,283,297
68120,8/17/2020 15:57,265,30
68121,8/17/2020 15:57,271,297
68122,8/17/2020 15:57,277,297
68123,8/17/2020 15:57,283,297
68127,8/17/2020 16:02,265,30
68128,8/17/2020 16:02,277,300
68129,8/17/2020 16:02,283,301
68631,8/17/2020 23:01,265,3
68632,8/17/2020 23:01,277,20
68633,8/17/2020 23:01,283,20
68634,8/17/2020 23:06,265,3
68635,8/17/2020 23:06,277,20
68636,8/17/2020 23:06,283,20
68637,8/17/2020 23:11,265,3
68638,8/17/2020 23:11,277,20
68639,8/17/2020 23:11,283,20
68640,8/17/2020 23:16,265,3
68641,8/17/2020 23:16,277,20
68642,8/17/2020 23:16,283,20
68643,8/17/2020 23:21,265,3
68644,8/17/2020 23:21,277,20
68645,8/17/2020 23:21,283,20
68646,8/17/2020 23:26,265,4
68647,8/17/2020 23:26,277,21
68648,8/17/2020 23:26,283,21
68649,8/17/2020 23:31,265,4
68650,8/17/2020 23:31,277,22
68651,8/17/2020 23:31,283,22
68652,8/17/2020 23:36,265,4
68653,8/17/2020 23:36,277,22
68654,8/17/2020 23:36,283,22
68655,8/17/2020 23:41,265,4
68656,8/17/2020 23:41,277,22
68657,8/17/2020 23:41,283,22
68658,8/17/2020 23:46,265,4
68659,8/17/2020 23:46,277,22
68660,8/17/2020 23:46,283,22
68661,8/17/2020 23:51,265,4
68662,8/17/2020 23:51,277,23
68663,8/17/2020 23:51,283,23
68664,8/17/2020 23:56,265,4
68665,8/17/2020 23:56,277,23
68666,8/17/2020 23:56,283,23
68667,8/18/2020 0:01,265,4
68668,8/18/2020 0:01,277,23
68669,8/18/2020 0:01,283,23
68670,8/18/2020 0:06,265,4
68671,8/18/2020 0:06,277,24
68672,8/18/2020 0:06,283,24
68673,8/18/2020 0:11,265,4
68674,8/18/2020 0:11,277,24
68675,8/18/2020 0:11,283,24
68676,8/18/2020 0:16,265,4
68677,8/18/2020 0:16,277,24
68678,8/18/2020 0:16,283,24
68679,8/18/2020 0:21,265,4
68680,8/18/2020 0:21,277,24
68681,8/18/2020 0:21,283,24
68682,8/18/2020 0:26,265,4
68683,8/18/2020 0:26,277,24
68684,8/18/2020 0:26,283,24
68685,8/18/2020 0:31,265,4
68686,8/18/2020 0:31,277,24
68687,8/18/2020 0:31,283,24
68688,8/18/2020 0:36,265,4
68689,8/18/2020 0:36,277,24
68690,8/18/2020 0:36,283,24
68691,8/18/2020 0:41,265,4
68692,8/18/2020 0:41,277,25
68693,8/18/2020 0:41,283,25
68694,8/18/2020 0:46,265,4
68695,8/18/2020 0:46,277,25
68696,8/18/2020 0:46,283,25
68697,8/18/2020 0:51,265,4
68698,8/18/2020 0:51,277,25
68699,8/18/2020 0:51,283,25
68700,8/18/2020 0:56,265,4
68701,8/18/2020 0:56,277,26
68702,8/18/2020 0:56,283,26
68703,8/18/2020 1:01,265,4
68704,8/18/2020 1:01,277,26
68705,8/18/2020 1:01,283,26
68706,8/18/2020 1:06,265,4
68707,8/18/2020 1:06,277,27
68708,8/18/2020 1:06,283,27
68709,8/18/2020 1:11,265,4
68710,8/18/2020 1:11,277,27
68711,8/18/2020 1:11,283,27
68712,8/18/2020 1:16,265,4
68713,8/18/2020 1:16,277,27
68714,8/18/2020 1:16,283,27
68715,8/18/2020 1:21,265,4
68716,8/18/2020 1:21,277,27
68717,8/18/2020 1:21,283,27
68718,8/18/2020 1:26,265,4
68719,8/18/2020 1:26,277,27
68720,8/18/2020 1:26,283,27
68721,8/18/2020 1:31,265,4
68722,8/18/2020 1:31,277,27
68723,8/18/2020 1:31,283,27
68724,8/18/2020 1:36,265,4
68725,8/18/2020 1:36,277,27
68726,8/18/2020 1:36,283,27
68727,8/18/2020 1:41,265,4
68728,8/18/2020 1:41,277,27
68729,8/18/2020 1:41,283,27
68730,8/18/2020 1:46,265,4
68731,8/18/2020 1:46,277,28
68732,8/18/2020 1:46,283,28
68733,8/18/2020 1:51,265,4
68734,8/18/2020 1:51,277,30
68735,8/18/2020 1:51,283,30
68736,8/18/2020 1:56,265,4
68737,8/18/2020 1:56,277,30
68738,8/18/2020 1:56,283,30
68739,8/18/2020 2:01,265,5
68740,8/18/2020 2:01,277,33
68741,8/18/2020 2:01,283,33
76570,8/26/2020 12:43,265,30
77105,8/26/2020 15:37,271,51
77641,8/28/2020 12:27,283,214
78214,8/31/2020 12:13,277,345
78778,8/31/2020 15:59,271,345
79320,8/31/2020 19:35,283,125
79321,8/31/2020 19:37,306,0
79894,8/31/2020 23:25,283,0
80452,9/1/2020 3:09,271,0
80998,9/1/2020 6:47,277,0
81547,9/1/2020 10:29,271,293
82114,9/1/2020 14:17,306,0
82665,9/1/2020 18:27,271,736
83234,9/1/2020 22:15,265,79
68136,8/17/2020 9:16,265,31
68137,8/17/2020 9:16,277,310
68138,8/17/2020 9:16,283,310
68139,8/17/2020 9:21,265,31
68140,8/17/2020 9:21,277,313
68141,8/17/2020 9:21,283,313
68742,8/18/2020 2:06,265,5
68743,8/18/2020 2:06,277,34
68744,8/18/2020 2:06,283,34
68745,8/18/2020 2:11,265,5
68746,8/18/2020 2:11,277,38
68747,8/18/2020 2:11,283,38
68748,8/18/2020 2:16,265,5
68749,8/18/2020 2:16,277,43
68750,8/18/2020 2:16,283,43
68751,8/18/2020 2:21,265,5
68752,8/18/2020 2:21,277,48
68753,8/18/2020 2:21,283,48
68754,8/18/2020 2:26,265,5
68755,8/18/2020 2:26,277,49
68756,8/18/2020 2:26,283,49
68757,8/18/2020 2:31,265,6
68758,8/18/2020 2:31,277,52
68759,8/18/2020 2:31,283,52
68760,8/18/2020 2:36,265,6
68761,8/18/2020 2:36,277,55
68762,8/18/2020 2:36,283,55
68763,8/18/2020 2:41,265,6
68764,8/18/2020 2:41,277,60
68765,8/18/2020 2:41,283,60
68766,8/18/2020 2:46,265,6
68767,8/18/2020 2:46,277,62
68768,8/18/2020 2:46,283,62
68769,8/18/2020 2:51,265,7
68770,8/18/2020 2:51,277,66
68771,8/18/2020 2:51,283,66
68772,8/18/2020 2:56,265,7
68773,8/18/2020 2:56,277,67
68774,8/18/2020 2:56,283,67
68775,8/18/2020 3:01,265,7
68776,8/18/2020 3:01,277,67
68777,8/18/2020 3:01,283,67
68778,8/18/2020 3:06,265,7
68779,8/18/2020 3:06,277,70
68780,8/18/2020 3:06,283,70
68781,8/18/2020 3:11,265,8
68782,8/18/2020 3:11,277,75
68783,8/18/2020 3:11,283,75
68784,8/18/2020 3:16,265,8
68785,8/18/2020 3:16,277,78
68786,8/18/2020 3:16,283,78
68787,8/18/2020 3:21,265,8
68788,8/18/2020 3:21,277,82
68789,8/18/2020 3:21,283,82
68790,8/18/2020 3:26,265,8
68791,8/18/2020 3:26,277,91
68792,8/18/2020 3:26,283,91
68793,8/18/2020 3:31,265,8
68794,8/18/2020 3:31,277,94
68795,8/18/2020 3:31,283,94
68796,8/18/2020 3:36,265,8
68797,8/18/2020 3:36,277,97
68798,8/18/2020 3:36,283,97
68799,8/18/2020 3:41,265,8
68800,8/18/2020 3:41,277,103
68801,8/18/2020 3:41,283,103
68802,8/18/2020 3:46,265,9
68803,8/18/2020 3:46,277,108
68804,8/18/2020 3:46,283,108
68805,8/18/2020 3:51,265,9
68806,8/18/2020 3:51,277,112
68807,8/18/2020 3:51,283,112
68808,8/18/2020 3:56,265,9
